Group 1
+--------------------------------------------------------------------------------------------+------------------------------+
|                                           Smile                                            |            Masses            |
|        C1CCc2c(c3c(nc(nc3s2)CN4CCOCC4)N5CCN(CC5)C(=O)C6CCCO6)C1         |    ('M+K', 510.193568916)    |
|        C1CCc2c(c3c(nc(nc3s2)CN4CCOCC4)N5CCN(CC5)C(=O)C6CCCO6)C1         |   ('M+NH4', 489.264233916)   |
|        C1CCc2c(c3c(nc(nc3s2)CN4CCOCC4)N5CCN(CC5)C(=O)C6CCCO6)C1         |    ('M-H', 470.223134916)    |
|        C1CCc2c(c3c(nc(nc3s2)CN4CCOCC4)N5CCN(CC5)C(=O)C6CCCO6)C1         |   ('M+Br', 550.149295916)    |
|        C1CCc2c(c3c(nc(nc3s2)CN4CCOCC4)N5CCN(CC5)C(=O)C6CCCO6)C1         |   ('M+Cl', 506.199812916)    |
| C=CCN(c1cccc(c1)C(F)(F)F)S(=O)(=O)c2ccc(c(c2)C(=O)N3CCN(CC3)c4ncccn4)Cl |     ('M', 565.116222936)     |
| C=CCN(c1cccc(c1)C(F)(F)F)S(=O)(=O)c2ccc(c(c2)C(=O)N3CCN(CC3)c4ncccn4)Cl |    ('M+H', 566.123498936)    |
| C=CCN(c1cccc(c1)C(F)(F)F)S(=O)(=O)c2ccc(c(c2)C(=O)N3CCN(CC3)c4ncccn4)Cl |   ('M+Na', 588.105440936)    |
| C=CCN(c1cccc(c1)C(F)(F)F)S(=O)(=O)c2ccc(c(c2)C(=O)N3CCN(CC3)c4ncccn4)Cl |    ('M+K', 604.079380936)    |
| C=CCN(c1cccc(c1)C(F)(F)F)S(=O)(=O)c2ccc(c(c2)C(=O)N3CCN(CC3)c4ncccn4)Cl |   ('M+NH4', 583.150045936)   |
| C=CCN(c1cccc(c1)C(F)(F)F)S(=O)(=O)c2ccc(c(c2)C(=O)N3CCN(CC3)c4ncccn4)Cl |  ('M-H', 564.1089469359999)  |
| C=CCN(c1cccc(c1)C(F)(F)F)S(=O)(=O)c2ccc(c(c2)C(=O)N3CCN(CC3)c4ncccn4)Cl |   ('M+Br', 644.035107936)    |
| C=CCN(c1cccc(c1)C(F)(F)F)S(=O)(=O)c2ccc(c(c2)C(=O)N3CCN(CC3)c4ncccn4)Cl | ('M+Cl', 600.0856249359999)  |
|                        CC(=O)c1ccc(cc1)N2CCCCC2                         |     ('M', 203.131014164)     |
|                        CC(=O)c1ccc(cc1)N2CCCCC2                         |    ('M+H', 204.138290164)    |
|                        CC(=O)c1ccc(cc1)N2CCCCC2                         |   ('M+Na', 226.120232164)    |
|                        CC(=O)c1ccc(cc1)N2CCCCC2                         |    ('M+K', 242.094172164)    |
|                        CC(=O)c1ccc(cc1)N2CCCCC2                         |   ('M+NH4', 221.164837164)   |
|                        CC(=O)c1ccc(cc1)N2CCCCC2                         |    ('M-H', 202.123738164)    |
